ts,src_ip,dst_ip,src_port,dst_port,protocol,size
1781214746.05,104.18.32.7,192.168.1.50,443,43856,TCP,1499
1781214746.1,192.168.1.50,142.250.79.14,43633,443,TCP,118
1781214746.15,192.168.1.50,8.8.8.8,46963,53,UDP,73
1781214746.17,8.8.8.8,192.168.1.50,53,54535,UDP,303
1781214746.25,13.226.2.10,192.168.1.50,443,44360,TCP,1178
1781214746.35,13.226.2.10,192.168.1.50,443,64198,TCP,1162
1781214746.35,192.168.1.50,142.250.79.14,40626,80,TCP,399
1781214746.8,192.168.1.50,13.226.2.10,54349,443,TCP,167
1781214746.9,192.168.1.50,142.250.79.14,59145,443,TCP,334
1781214747.1,13.226.2.10,192.168.1.50,443,47582,TCP,805
1781214747.25,192.168.1.50,104.18.32.7,59025,443,TCP,319
1781214747.45,192.168.1.50,104.18.32.7,61259,443,TCP,203
1781214747.9,192.168.1.50,104.18.32.7,44349,443,TCP,372
1781214747.9,192.168.1.50,8.8.8.8,61401,53,UDP,60
1781214747.92,8.8.8.8,192.168.1.50,53,58089,UDP,142
1781214748,192.168.1.50,8.8.8.8,,,ICMP,84
1781214748.03,8.8.8.8,192.168.1.50,,,ICMP,84
1781214748.1,192.168.1.50,104.18.32.7,53177,443,TCP,399
1781214748.25,192.168.1.50,104.18.32.7,50179,4209,TCP,342
1781214748.3,13.226.2.10,192.168.1.50,443,59515,TCP,1030
1781214748.5,142.250.79.14,192.168.1.50,443,54408,TCP,1076
1781214748.5,192.168.1.50,151.101.1.69,63292,80,TCP,299
1781214748.85,192.168.1.50,104.18.32.7,44226,443,TCP,227
1781214748.9,192.168.1.50,8.8.8.8,42449,53,UDP,110
1781214748.92,8.8.8.8,192.168.1.50,53,40333,UDP,349
1781214748.95,13.226.2.10,192.168.1.50,443,63018,TCP,833
1781214749,151.101.1.69,192.168.1.50,443,62436,TCP,1043
1781214749.15,151.101.1.69,192.168.1.50,443,63399,TCP,1198
1781214749.35,192.168.1.50,8.8.8.8,53826,53,UDP,87
1781214749.37,8.8.8.8,192.168.1.50,53,60267,UDP,320
1781214749.5,142.250.79.14,192.168.1.50,443,45917,TCP,845
1781214749.8,192.168.1.50,8.8.8.8,41066,53,UDP,119
1781214749.82,8.8.8.8,192.168.1.50,53,47803,UDP,298
1781214750.1,13.226.2.10,192.168.1.50,443,43853,TCP,1375
1781214750.15,104.18.32.7,192.168.1.50,443,60526,TCP,1253
1781214750.35,192.168.1.50,151.101.1.69,50414,4318,TCP,324
1781214750.7,142.250.79.14,192.168.1.50,443,59592,TCP,881
1781214750.75,192.168.1.50,151.101.1.69,44920,443,TCP,201
1781214750.85,192.168.1.50,13.226.2.10,63896,443,TCP,80
1781214751,192.168.1.50,192.168.1.1,,,ARP,42
1781214751.25,192.168.1.50,104.18.32.7,41018,80,TCP,322
1781214751.25,142.250.79.14,192.168.1.50,10841,12375,UDP,253
1781214751.3,142.250.79.14,192.168.1.50,443,60810,TCP,1243
1781214751.35,104.18.32.7,192.168.1.50,443,40967,TCP,816
1781214751.4,192.168.1.50,8.8.8.8,62893,53,UDP,92
1781214751.42,8.8.8.8,192.168.1.50,53,46403,UDP,158
1781214751.6,192.168.1.50,104.18.32.7,62414,443,TCP,313
1781214751.6,13.226.2.10,192.168.1.50,22368,14345,UDP,258
1781214751.65,192.168.1.50,13.226.2.10,40221,7261,TCP,760
1781214751.7,104.18.32.7,192.168.1.50,443,40496,TCP,1300
1781214751.7,192.168.1.50,8.8.8.8,54176,53,UDP,99
1781214751.72,8.8.8.8,192.168.1.50,53,60812,UDP,271
1781214752,192.168.1.50,151.101.1.69,47095,443,TCP,296
1781214752.05,142.250.79.14,192.168.1.50,28772,22814,UDP,285
1781214752.35,192.168.1.50,8.8.8.8,64443,53,UDP,80
1781214752.37,8.8.8.8,192.168.1.50,53,41092,UDP,119
1781214752.4,104.18.32.7,192.168.1.50,443,44271,TCP,1082
1781214752.7,192.168.1.50,104.18.32.7,48277,443,TCP,287
1781214753.35,104.18.32.7,192.168.1.50,443,58188,TCP,1477
1781214753.4,151.101.1.69,192.168.1.50,443,48932,TCP,1068
1781214753.55,151.101.1.69,192.168.1.50,443,42145,TCP,1222
1781214753.6,151.101.1.69,192.168.1.50,443,56494,TCP,1460
1781214753.7,192.168.1.50,13.226.2.10,55173,443,TCP,182
1781214753.85,13.226.2.10,192.168.1.50,443,52643,TCP,1320
